iter	RMSE
0	325566.2806
1	318489.0239
2	311110.4571
3	304432.9474
4	298190.3174
5	292512.0063
6	287775.4973
7	283963.9529
8	279288.5631
9	274686.5553
10	271863.2489
11	267893.8867
12	264139.2349
13	260320.287
14	256953.2199
15	253797.9616
16	250735.9338
17	247702.7207
18	245979.4678
19	244489.6208
20	243208.1445
21	240461.924
22	237947.9609
23	236852.4783
24	234546.5613
25	232507.1062
26	232360.6262
27	230296.9534
28	229376.2295
29	228513.5742
30	226334.764
31	225644.1638
32	223764.6514
33	221948.1619
34	221670.2512
35	219904.9706
36	219794.6698
37	218059.2864
38	217955.4179
39	217855.1294
40	216210.4987
41	215565.0741
42	215472.3749
43	214973.789
44	214887.8584
45	214804.1868
46	214723.8819
47	214646.2965
48	214105.3336
49	213775.3794
50	213358.3165
51	213289.0823
52	213223.1745
53	213159.0161
54	213097.3969
55	212685.0273
56	212338.611
57	212054.8832
58	212000.0506
59	211947.2004
60	211895.7816
61	211752.2817
62	210129.1517
63	208473.5761
64	207629.3895
65	207401.7507
66	207357.6393
67	207314.1045
68	206521.3059
69	205070.5403
70	203672.9116
71	203633.9965
72	203213.3829
73	202976.0887
74	202571.8908
75	202538.5169
76	202323.8043
77	202291.2493
78	202000.6182
79	201057.3748
80	199733.9483
81	199704.2978
82	199555.9166
83	198252.9565
84	198106.0191
85	198041.3013
86	196801.1932
87	196640.231
88	195436.8481
89	194590.8053
90	194523.5162
91	194343.8041
92	194322.3809
93	194301.2249
94	193137.6033
95	192717.1385
96	192631.5226
97	191765.5599
98	191555.406
99	191410.7036
100	190301.5999
101	190109.7855
102	189037.8024
103	189021.1618
104	189005.0971
105	188989.568
106	188895.221
107	188779.4557
108	188633.9499
109	188511.9877
110	188376.4045
111	187837.4327
112	186760.259
113	185779.1429
114	185554.5453
115	184851.9436
116	184715.7892
117	183769.6905
118	183758.2863
119	183369.4529
120	183228.4403
121	182310.594
122	182133.582
123	182059.6406
124	181859.9213
125	181165.4092
126	181155.705
127	181071.2693
128	181061.236
129	180873.8332
130	180008.9666
131	179909.8981
132	179761.2671
133	179688.949
134	179477.1952
135	179449.4715
136	179364.6575
137	179292.8385
138	179172.0063
139	178330.2828
140	178261.0805
141	177448.0841
142	176604.0721
143	176515.7472
144	175973.8313
145	175888.6134
146	175332.6055
147	174592.2881
148	174586.515
149	173979.0023
150	173250.2242
151	173120.7673
152	172571.2854
153	171879.4283
154	171225.8861
155	170596.1328
156	169967.0629
157	169284.2285
158	169277.8216
159	168698.0908
160	168573.1444
161	168020.1672
162	167491.6649
163	166929.8086
164	166411.7385
165	165893.3916
166	165881.382
167	165723.8073
168	165642.5894
169	165143.076
170	164683.5337
171	164538.1071
172	164101.7767
173	163997.7161
174	163878.5318
175	163455.8058
176	163042.6075
177	162943.6171
178	162821.9412
179	162424.2697
180	162039.1994
181	161658.2436
182	161290.8512
183	160944.3333
184	160595.4717
185	160253.9383
186	160198.0859
187	159867.3745
188	159548.5552
189	159250.384
190	159172.9042
191	158839.0212
192	158733.0043
193	158425.3656
194	158032.4657
195	157757.8837
196	157694.7526
197	157464.2702
198	157364.8293
199	157321.1725
200	157071.926
201	156860.8998
202	156781.5441
